Station Latitude Longitude Depth Depth.nominal
TARA_005 36.0088 -4.5184 SRF 9
TARA_006 36.5229 -4.0023 SRF 9
TARA_007 37.051 1.9378 SRF 9
TARA_008 38.0026 3.9992 SRF 9
TARA_009 39.1633 5.916 SRF 9
TARA_010 40.6433 2.8751 SRF 9
TARA_011 41.6686 2.7996 SRF 9
TARA_012 43.3529 7.8988 SRF 5
TARA_014 39.8989 12.9034 SRF 5
TARA_015 40.0154 13.9069 SRF 5
TARA_016 37.4956 15.4945 SRF 5
TARA_017 36.2749 14.3068 SRF 5
TARA_018 35.759 14.2574 SRF 5
TARA_019 34.2116 13.7684 SRF 5
TARA_020 34.453 14.9538 SRF 5
TARA_021 37.5057 17.2174 SRF 5
TARA_022 39.8386 17.4155 SRF 5
TARA_023 42.2038 17.715 SRF 5
TARA_024 42.4552 17.9348 SRF 5
TARA_025 39.3888 19.3905 SRF 5
TARA_026 38.4761 20.1705 SRF 5
TARA_030 33.9179 32.898 SRF 5
