"","origin","destination","probability"
"1","S27SUR","S27SUR",0.00468719123309
"2","S19SUR","S27SUR",1.15400205088e-06
"3","S20SUR","S27SUR",5.37684348648e-06
"4","S28SUR","S27SUR",0.00192294391468
"5","S18SUR","S27SUR",5.58223770483e-06
"6","S17SUR","S27SUR",1.84943428837e-05
"7","S16SUR","S27SUR",1.43004783437e-06
"8","S21SUR","S27SUR",6.97018913684e-06
"9","S26SUR","S27SUR",8.32666241618e-06
"10","S25SUR","S27SUR",1.91927367906e-06
"11","S22SUR","S27SUR",1.77776641817e-07
"12","S23SUR","S27SUR",2.27373801918e-08
"13","S24SUR","S27SUR",4.26666666668e-09
"14","S19SUR","S19SUR",0.00360591992453
"15","S20SUR","S19SUR",0.00253088657698
"16","S18SUR","S19SUR",0.00158937788617
"17","S5SUR","S19SUR",4.74023516157e-05
"18","S17SUR","S19SUR",0.00101530683283
"19","S6SUR","S19SUR",3.72037588735e-05
"20","S7SUR","S19SUR",0.000206510117394
"21","S16SUR","S19SUR",0.000118893686349
"22","S21SUR","S19SUR",5.23300200915e-05
"23","S8SUR","S19SUR",0.000454905850098
"24","S26SUR","S19SUR",4.94888951665e-05
"25","S9SUR","S19SUR",0.000703508164339
"26","S25SUR","S19SUR",5.85111347331e-05
"27","S14SUR","S19SUR",4.48280913747e-05
"28","S22SUR","S19SUR",6.95752950857e-06
"29","S15SUR","S19SUR",1.03990795411e-05
"30","S10SUR","S19SUR",3.9117325892e-05
"31","S11SUR","S19SUR",2.23138924365e-05
"32","S23SUR","S19SUR",2.17940263055e-06
"33","S24SUR","S19SUR",1.46618420396e-06
"34","S12SUR","S19SUR",1.71883281688e-05
"35","S19SUR","S20SUR",0.00307954586454
"36","S20SUR","S20SUR",0.00275186859132
"37","S18SUR","S20SUR",0.00204589670637
"38","S5SUR","S20SUR",3.41007781806e-05
"39","S17SUR","S20SUR",0.00142951578034
"40","S6SUR","S20SUR",2.68271921498e-05
"41","S7SUR","S20SUR",0.000149371413932
"42","S16SUR","S20SUR",0.000286491519416
"43","S21SUR","S20SUR",0.000159117504315
"44","S8SUR","S20SUR",0.000306748220588
"45","S26SUR","S20SUR",0.000109498443856
"46","S9SUR","S20SUR",0.000489252268366
"47","S25SUR","S20SUR",0.000125181382614
"48","S14SUR","S20SUR",3.1271589936e-05
"49","S22SUR","S20SUR",2.06205395203e-05
"50","S15SUR","S20SUR",5.14948890193e-06
"51","S10SUR","S20SUR",4.26643006405e-05
"52","S11SUR","S20SUR",2.5325153017e-05
"53","S23SUR","S20SUR",5.98869736894e-06
"54","S24SUR","S20SUR",5.34629962629e-06
"55","S12SUR","S20SUR",1.80539883181e-05
"56","S27SUR","S28SUR",0.00276292178247
"57","S19SUR","S28SUR",8.79596710747e-06
"58","S20SUR","S28SUR",2.14023437479e-05
"59","S28SUR","S28SUR",0.00169979099064
"60","S18SUR","S28SUR",2.98835732053e-05
"61","S17SUR","S28SUR",5.05150380223e-05
"62","S7SUR","S28SUR",7.11111111113e-09
"63","S16SUR","S28SUR",9.52749218274e-06
"64","S21SUR","S28SUR",3.76136389835e-05
"65","S8SUR","S28SUR",4.40854810082e-08
"66","S26SUR","S28SUR",4.6891262567e-05
"67","S9SUR","S28SUR",3.30673537042e-07
"68","S25SUR","S28SUR",1.85145412541e-05
"69","S14SUR","S28SUR",7.11111111113e-10
"70","S22SUR","S28SUR",1.19533023129e-06
"71","S23SUR","S28SUR",9.09314611835e-07
"72","S24SUR","S28SUR",8.90202073492e-07
"73","S19SUR","S18SUR",0.00180211507437
"74","S20SUR","S18SUR",0.00186103097637
"75","S18SUR","S18SUR",0.0210867291643
"76","S5SUR","S18SUR",0.000150481443125
"77","S17SUR","S18SUR",0.00209613746452
"78","S6SUR","S18SUR",0.000111514888091
"79","S7SUR","S18SUR",0.000605801272267
"80","S16SUR","S18SUR",7.05064418486e-05
"81","S21SUR","S18SUR",1.93768877753e-05
"82","S8SUR","S18SUR",0.000961426842679
"83","S26SUR","S18SUR",5.25279990249e-06
"84","S9SUR","S18SUR",0.0013680882693
"85","S25SUR","S18SUR",1.59544998091e-05
"86","S14SUR","S18SUR",0.000203375291194
"87","S22SUR","S18SUR",2.88872140424e-06
"88","S15SUR","S18SUR",4.85821354427e-05
"89","S10SUR","S18SUR",0.000298321047907
"90","S11SUR","S18SUR",0.000161397793511
"91","S23SUR","S18SUR",2.84444444445e-09
"92","S24SUR","S18SUR",2.13333333334e-09
"93","S12SUR","S18SUR",0.000147770213833
"94","S5SUR","S5SUR",6.28474160713e-05
"95","S6SUR","S5SUR",2.60970024242e-05
"96","S7SUR","S5SUR",2.816e-07
"97","S8SUR","S5SUR",2.58133333333e-07
"98","S9SUR","S5SUR",2.27555555556e-08
"99","S10SUR","S5SUR",5.68888888889e-09
"100","S11SUR","S5SUR",5.33638269489e-09
"101","S19SUR","S17SUR",0.000456128470601
"102","S20SUR","S17SUR",0.000401062788256
"103","S18SUR","S17SUR",0.000594250691478
"104","S5SUR","S17SUR",0.000263070238662
"105","S17SUR","S17SUR",0.000185762585575
"106","S6SUR","S17SUR",0.000207110493196
"107","S7SUR","S17SUR",0.000744758008386
"108","S16SUR","S17SUR",7.51201648963e-06
"109","S21SUR","S17SUR",8.83794190949e-07
"110","S8SUR","S17SUR",0.000922066114939
"111","S26SUR","S17SUR",9.77007800624e-07
"112","S9SUR","S17SUR",0.000941959854531
"113","S25SUR","S17SUR",7.017909054e-06
"114","S14SUR","S17SUR",0.000304618882159
"115","S22SUR","S17SUR",4.1905573305e-08
"116","S15SUR","S17SUR",9.30142287116e-05
"117","S10SUR","S17SUR",0.000558929787615
"118","S11SUR","S17SUR",0.000379649603636
"119","S12SUR","S17SUR",0.000313087710135
"120","S5SUR","S6SUR",0.000411430787104
"121","S6SUR","S6SUR",0.00226933471562
"122","S7SUR","S6SUR",2.95154993647e-05
"123","S8SUR","S6SUR",1.84566804262e-05
"124","S9SUR","S6SUR",1.41153397231e-06
"125","S10SUR","S6SUR",8.39111111112e-08
"126","S11SUR","S6SUR",8.10365393642e-07
"127","S12SUR","S6SUR",7.11111111113e-10
"128","S5SUR","S7SUR",0.00118670987459
"129","S6SUR","S7SUR",0.00130107605612
"130","S7SUR","S7SUR",0.000423656386524
"131","S8SUR","S7SUR",0.000246692288495
"132","S9SUR","S7SUR",9.0359386113e-05
"133","S14SUR","S7SUR",6.51376641818e-07
"134","S15SUR","S7SUR",6.20078819399e-07
"135","S10SUR","S7SUR",4.93798518949e-05
"136","S11SUR","S7SUR",5.04795287116e-05
"137","S12SUR","S7SUR",2.22640645679e-05
"138","S19SUR","S16SUR",0.000297748558736
"139","S20SUR","S16SUR",0.000352085976696
"140","S18SUR","S16SUR",0.00047795954937
"141","S5SUR","S16SUR",1.10548789965e-05
"142","S17SUR","S16SUR",0.00100974624597
"143","S6SUR","S16SUR",9.36509445152e-06
"144","S7SUR","S16SUR",5.59991467274e-05
"145","S16SUR","S16SUR",0.00384178390071
"146","S21SUR","S16SUR",0.00299996042529
"147","S8SUR","S16SUR",0.000110331988253
"148","S26SUR","S16SUR",0.000800420762701
"149","S9SUR","S16SUR",0.000264391689242
"150","S25SUR","S16SUR",0.00123253511665
"151","S14SUR","S16SUR",4.68113736171e-05
"152","S22SUR","S16SUR",0.00191374173562
"153","S15SUR","S16SUR",1.35694221045e-05
"154","S10SUR","S16SUR",2.07044634634e-05
"155","S11SUR","S16SUR",9.2071324563e-06
"156","S23SUR","S16SUR",8.56128490446e-05
"157","S24SUR","S16SUR",8.68061956457e-05
"158","S12SUR","S16SUR",1.05095505128e-05
"159","S19SUR","S21SUR",0.000231657366376
"160","S20SUR","S21SUR",0.000327597204642
"161","S18SUR","S21SUR",0.000517533776503
"162","S5SUR","S21SUR",1.93581101416e-05
"163","S17SUR","S21SUR",0.00102093968684
"164","S6SUR","S21SUR",1.63251995335e-05
"165","S7SUR","S21SUR",9.37756770985e-05
"166","S16SUR","S21SUR",0.0037174179202
"167","S21SUR","S21SUR",0.00336737527133
"168","S8SUR","S21SUR",0.000167305666537
"169","S26SUR","S21SUR",0.000990691547792
"170","S9SUR","S21SUR",0.000309384358719
"171","S25SUR","S21SUR",0.00144272538756
"172","S14SUR","S21SUR",7.52996958044e-05
"173","S22SUR","S21SUR",0.00300375791515
"174","S15SUR","S21SUR",1.87353990825e-05
"175","S10SUR","S21SUR",8.93452499009e-05
"176","S11SUR","S21SUR",4.67819966389e-05
"177","S23SUR","S21SUR",8.9515742574e-05
"178","S24SUR","S21SUR",9.2784377796e-05
"179","S12SUR","S21SUR",4.7517604174e-05
"180","S5SUR","S8SUR",0.00154224046715
"181","S6SUR","S8SUR",0.00150505140707
"182","S7SUR","S8SUR",0.00103946586529
"183","S8SUR","S8SUR",0.000763474401767
"184","S9SUR","S8SUR",0.000392707597681
"185","S14SUR","S8SUR",1.60252223993e-06
"186","S15SUR","S8SUR",1.34384651425e-06
"187","S10SUR","S8SUR",0.000178911850819
"188","S11SUR","S8SUR",0.000206588886297
